policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements
NO_PASSIVE,260901,348.0688789779367,2.2237089183824192,445.27923823147125,0,0,0,0,194
RANDOM,260901,4.282446984041136,0.25053390317368895,18.525804710732636,60,0,0,0,194
HIGHEST_SNR,260901,2.6645986279208045,0.17887312405870934,19.827698732886354,60,0,0,0,194
SHORTEST_PULSE,260901,12.616369891238602,0.24972523576800365,16.856160654545192,60,0,0,0,194
METROLOGY_CONDITIONED_EIG,260901,18.31485976211459,0.5235226310440715,15.91763168460606,60,0,0,0,194
NO_PASSIVE,260902,634.9943419865351,3.5306109475828498,445.27923823147125,0,0,0,0,99
RANDOM,260902,61.88876580588569,1.47348611202292,23.896171529913346,48,0,0,0,99
HIGHEST_SNR,260902,63.00326867035896,1.5407307387778866,21.532629128744617,48,0,0,0,99
SHORTEST_PULSE,260902,43.648185113040924,1.1663585695809575,26.097059651813485,48,0,0,0,99
METROLOGY_CONDITIONED_EIG,260902,55.538738607235594,1.4170664549907956,20.532553002474586,48,0,0,0,99
NO_PASSIVE,260903,409.72668913747185,1.751384484750614,445.27923823147125,0,0,0,0,127
RANDOM,260903,61.47019601566916,1.5294733565101524,29.402305863587273,46,1,0,0,127
HIGHEST_SNR,260903,81.2348495426264,2.899894344571826,37.440280159708735,45,2,0,0,127
SHORTEST_PULSE,260903,39.32699651780307,0.7242289721134987,25.33939254501929,46,1,0,0,127
METROLOGY_CONDITIONED_EIG,260903,11.875717719361178,0.32952849170150134,24.027517673567306,47,0,0,0,127
NO_PASSIVE,260904,533.5742757218977,0.4985697642065539,445.27923823147125,0,0,0,0,25
RANDOM,260904,13.538873142272939,0.43785611937344576,31.651244502552938,20,0,0,0,25
HIGHEST_SNR,260904,12.35948462695276,0.28685474065014743,31.77471271937675,20,0,0,0,25
SHORTEST_PULSE,260904,12.35948462695276,0.28685474065014743,31.77471271937675,20,0,0,0,25
METROLOGY_CONDITIONED_EIG,260904,13.645811748284027,0.3914208215282213,31.645921243355655,20,0,0,0,25
NO_PASSIVE,260905,263.88006287231326,4.284359225533901,445.27923823147125,0,0,0,0,124
RANDOM,260905,1.4471542117467275,0.6320682998150545,29.557555212882594,59,0,0,0,124
HIGHEST_SNR,260905,3.2841132369362467,0.46596993997735403,34.22369486020004,59,0,0,0,124
SHORTEST_PULSE,260905,16.48610197473377,1.0933845276076588,24.10303718593505,59,0,0,0,124
METROLOGY_CONDITIONED_EIG,260905,15.648262198442618,0.9234361777517,23.887477952777655,59,0,0,0,124
NO_PASSIVE,260906,517.0699484462659,0.5538009617862696,445.27923823147125,0,0,0,0,101
RANDOM,260906,8.459726796579817,0.4938126519361719,14.646325089265646,57,0,0,0,101
HIGHEST_SNR,260906,9.092492531075587,0.4705130973990753,17.808185982922573,57,0,0,0,101
