scenario_id,policy,accepted_assoc_bad,accepted_outliers,used,rejected,corrupt_accepted_fraction
1,HIGHEST_SNR,0,0,1342,22,0.0
1,METROLOGY_CONDITIONED_EIG,0,0,1348,16,0.0
1,NO_PASSIVE,0,0,0,0,0.0
1,RANDOM,0,0,1343,21,0.0
1,SHORTEST_PULSE,0,0,1346,18,0.0
2,HIGHEST_SNR,0,9,1324,107,0.006797583081570997
2,METROLOGY_CONDITIONED_EIG,0,10,1341,90,0.007457121551081283
2,NO_PASSIVE,0,0,0,0,0.0
2,RANDOM,0,5,1343,88,0.0037230081906180195
2,SHORTEST_PULSE,0,5,1336,95,0.0037425149700598802
3,HIGHEST_SNR,0,27,1063,246,0.02539981185324553
3,METROLOGY_CONDITIONED_EIG,0,48,935,374,0.051336898395721926
3,NO_PASSIVE,0,0,0,0,0.0
3,RANDOM,0,35,1049,260,0.03336510962821735
3,SHORTEST_PULSE,0,27,1036,273,0.026061776061776062
4,HIGHEST_SNR,3,0,1255,77,0.002390438247011952
4,METROLOGY_CONDITIONED_EIG,2,0,1253,79,0.0015961691939345571
4,NO_PASSIVE,0,0,0,0,0.0
4,RANDOM,1,0,1265,67,0.0007905138339920949
4,SHORTEST_PULSE,0,0,1251,81,0.0
5,HIGHEST_SNR,0,10,1114,170,0.008976660682226212
5,METROLOGY_CONDITIONED_EIG,0,9,1095,189,0.00821917808219178
5,NO_PASSIVE,0,0,0,0,0.0
5,RANDOM,0,10,1126,158,0.008880994671403197
5,SHORTEST_PULSE,0,7,1092,192,0.00641025641025641
6,HIGHEST_SNR,3,24,1028,384,0.026264591439688716
6,METROLOGY_CONDITIONED_EIG,0,17,1046,366,0.016252390057361378
6,NO_PASSIVE,0,0,0,0,0.0
6,RANDOM,2,24,1043,369,0.024928092042186004
6,SHORTEST_PULSE,0,10,1099,313,0.009099181073703366
7,HIGHEST_SNR,4,0,1109,209,0.0036068530207394047
7,METROLOGY_CONDITIONED_EIG,5,0,1089,229,0.004591368227731864
7,NO_PASSIVE,0,0,0,0,0.0
7,RANDOM,9,0,1071,247,0.008403361344537815
7,SHORTEST_PULSE,6,0,1071,247,0.0056022408963585435
8,HIGHEST_SNR,5,7,1069,259,0.011225444340505144
8,METROLOGY_CONDITIONED_EIG,3,8,1049,279,0.010486177311725452
8,NO_PASSIVE,0,0,0,0,0.0
8,RANDOM,3,6,1078,250,0.008348794063079777
8,SHORTEST_PULSE,2,6,1071,257,0.007469654528478058
9,HIGHEST_SNR,5,30,830,455,0.04216867469879518
9,METROLOGY_CONDITIONED_EIG,5,33,703,582,0.05405405405405406
9,NO_PASSIVE,0,0,0,0,0.0
9,RANDOM,4,26,837,448,0.035842293906810034
9,SHORTEST_PULSE,4,27,787,498,0.03939008894536213
10,HIGHEST_SNR,0,0,1359,18,0.0
10,METROLOGY_CONDITIONED_EIG,0,0,1354,23,0.0
10,NO_PASSIVE,0,0,0,0,0.0
10,RANDOM,0,0,1351,26,0.0
10,SHORTEST_PULSE,0,0,1356,21,0.0
11,HIGHEST_SNR,0,11,1244,110,0.008842443729903537
11,METROLOGY_CONDITIONED_EIG,0,9,1218,136,0.007389162561576354
11,NO_PASSIVE,0,0,0,0,0.0
11,RANDOM,0,11,1224,130,0.008986928104575163
11,SHORTEST_PULSE,0,8,1233,121,0.006488240064882401
12,HIGHEST_SNR,0,29,1036,235,0.027992277992277992
12,METROLOGY_CONDITIONED_EIG,0,24,1041,230,0.023054755043227664
12,NO_PASSIVE,0,0,0,0,0.0
12,RANDOM,0,29,1027,244,0.028237585199610515
12,SHORTEST_PULSE,0,19,1039,232,0.01828681424446583
13,HIGHEST_SNR,2,0,1279,74,0.001563721657544957
13,METROLOGY_CONDITIONED_EIG,2,0,1275,78,0.001568627450980392
13,NO_PASSIVE,0,0,0,0,0.0
13,RANDOM,2,0,1282,71,0.0015600624024961
13,SHORTEST_PULSE,2,0,1274,79,0.0015698587127158557
14,HIGHEST_SNR,1,6,1198,134,0.005843071786310518
14,METROLOGY_CONDITIONED_EIG,1,6,1189,143,0.005887300252312868
14,NO_PASSIVE,0,0,0,0,0.0
14,RANDOM,1,9,1164,168,0.00859106529209622
14,SHORTEST_PULSE,2,6,1186,146,0.006745362563237774
15,HIGHEST_SNR,1,37,980,322,0.03877551020408163
15,METROLOGY_CONDITIONED_EIG,2,32,953,349,0.035676810073452254
15,NO_PASSIVE,0,0,0,0,0.0
15,RANDOM,2,32,1000,302,0.034
15,SHORTEST_PULSE,1,30,934,368,0.033190578158458245
16,HIGHEST_SNR,5,0,1141,208,0.0043821209465381246
16,METROLOGY_CONDITIONED_EIG,4,0,1134,215,0.003527336860670194
16,NO_PASSIVE,0,0,0,0,0.0
16,RANDOM,3,0,1134,215,0.0026455026455026454
16,SHORTEST_PULSE,6,0,1136,213,0.00528169014084507
17,HIGHEST_SNR,3,8,1057,299,0.010406811731315043
17,METROLOGY_CONDITIONED_EIG,2,7,1024,332,0.0087890625
17,NO_PASSIVE,0,0,0,0,0.0
17,RANDOM,3,8,1019,337,0.010794896957801767
17,SHORTEST_PULSE,2,9,1012,344,0.010869565217391304
18,HIGHEST_SNR,3,22,851,449,0.02937720329024677
18,METROLOGY_CONDITIONED_EIG,2,29,796,504,0.038944723618090454
18,NO_PASSIVE,0,0,0,0,0.0
18,RANDOM,4,24,832,468,0.03365384615384615
18,SHORTEST_PULSE,1,18,807,493,0.023543990086741014
19,HIGHEST_SNR,0,0,1164,82,0.0
19,METROLOGY_CONDITIONED_EIG,0,0,1196,50,0.0
19,NO_PASSIVE,0,0,0,0,0.0
19,RANDOM,0,0,1205,41,0.0
19,SHORTEST_PULSE,0,0,1203,43,0.0
20,HIGHEST_SNR,0,9,1216,62,0.007401315789473684
20,METROLOGY_CONDITIONED_EIG,0,4,1204,74,0.0033222591362126247
20,NO_PASSIVE,0,0,0,0,0.0
20,RANDOM,0,6,1208,70,0.004966887417218543
20,SHORTEST_PULSE,0,4,1204,74,0.0033222591362126247
21,HIGHEST_SNR,0,37,919,348,0.04026115342763874
21,METROLOGY_CONDITIONED_EIG,0,32,843,424,0.03795966785290629
21,NO_PASSIVE,0,0,0,0,0.0
21,RANDOM,0,37,893,374,0.04143337066069429
21,SHORTEST_PULSE,0,25,890,377,0.028089887640449437
22,HIGHEST_SNR,2,0,1179,97,0.0016963528413910093
22,METROLOGY_CONDITIONED_EIG,1,0,1171,105,0.0008539709649871904
22,NO_PASSIVE,0,0,0,0,0.0
22,RANDOM,1,0,1182,94,0.0008460236886632825
22,SHORTEST_PULSE,2,0,1166,110,0.0017152658662092624
23,HIGHEST_SNR,1,8,1091,135,0.008249312557286892
23,METROLOGY_CONDITIONED_EIG,1,7,1084,142,0.007380073800738007
23,NO_PASSIVE,0,0,0,0,0.0
23,RANDOM,1,5,1075,151,0.005581395348837209
23,SHORTEST_PULSE,1,4,1088,138,0.004595588235294118
24,HIGHEST_SNR,1,38,991,413,0.039354187689202826
24,METROLOGY_CONDITIONED_EIG,1,31,1007,397,0.031777557100297914
24,NO_PASSIVE,0,0,0,0,0.0
24,RANDOM,1,36,1049,355,0.03527168732125834
24,SHORTEST_PULSE,0,31,1052,352,0.029467680608365018
25,HIGHEST_SNR,4,0,1037,199,0.003857280617164899
25,METROLOGY_CONDITIONED_EIG,3,0,1013,223,0.0029615004935834156
25,NO_PASSIVE,0,0,0,0,0.0
25,RANDOM,4,0,1023,213,0.0039100684261974585
25,SHORTEST_PULSE,4,0,984,252,0.0040650406504065045
26,HIGHEST_SNR,5,9,999,249,0.014014014014014014
26,METROLOGY_CONDITIONED_EIG,4,7,935,313,0.011764705882352941
26,NO_PASSIVE,0,0,0,0,0.0
26,RANDOM,4,8,997,251,0.012036108324974924
26,SHORTEST_PULSE,4,4,984,264,0.008130081300813009
27,HIGHEST_SNR,1,25,929,382,0.02798708288482239
27,METROLOGY_CONDITIONED_EIG,3,19,879,432,0.02502844141069397
27,NO_PASSIVE,0,0,0,0,0.0
27,RANDOM,3,24,852,459,0.03169014084507042
27,SHORTEST_PULSE,2,18,893,418,0.022396416573348264
