maneuver_deg,assoc_error_prob,outlier_prob,scenario_id,no_passive_median_m,random_median_m,highest_snr_median_m,shortest_pulse_median_m,metrology_eig_median_m,best_simple_median_m,metrology_eig_beats_no_passive,metrology_eig_beats_best_simple
0,0.0,0.0,1,446.62000332572006,26.556121184560375,18.277751301818782,18.82899146859326,18.467840439970836,18.277751301818782,1,0
0,0.0,0.05,2,396.1812581596446,18.120121845814733,24.065612867627504,15.989853390075053,13.66761891167273,15.989853390075053,1,1
0,0.0,0.15,3,351.4707762599721,40.05482240382962,40.34769334656507,36.40822699796928,33.85806120978734,36.40822699796928,1,1
0,0.05,0.0,4,386.32835095743076,25.570385743994894,19.812578984686695,21.965938282421583,15.741224109229439,19.812578984686695,1,1
0,0.05,0.05,5,418.94968911332774,23.095957849834974,34.79529209259218,26.116750760755103,28.879816653885612,23.095957849834974,1,0
0,0.05,0.15,6,414.79472263020455,25.878836916359354,43.039261218943736,21.56083292662813,25.026780695275384,21.56083292662813,1,0
0,0.15,0.0,7,372.24324266370184,22.71161488666229,31.727234610821846,22.27748673499209,19.407206802875898,22.27748673499209,1,1
0,0.15,0.05,8,366.36247797802275,29.730342485951567,32.89928204442616,27.491239610962715,24.666052218479393,27.491239610962715,1,1
0,0.15,0.15,9,360.01980148691206,36.08806318628521,62.30209790214894,51.16955942960909,56.47540787844462,36.08806318628521,1,0
20,0.0,0.0,10,324.09047614379256,28.120081979388086,31.936300443296993,22.575695764188573,23.512363391765817,22.575695764188573,1,0
20,0.0,0.05,11,365.2888258106088,22.450212507585782,31.485580166400183,25.164605184944445,26.821053799727686,22.450212507585782,1,0
20,0.0,0.15,12,308.5990263608947,41.198590302534726,45.918139281538686,29.150878358499845,34.446388624553194,29.150878358499845,1,0
20,0.05,0.0,13,310.3014897914346,30.771210485402985,35.72647278838741,27.59396051289288,30.10659706170599,27.59396051289288,1,0
20,0.05,0.05,14,370.65261976451643,31.169648590426064,38.45623737352909,28.50414123618875,29.315727517780058,28.50414123618875,1,0
20,0.05,0.15,15,320.02646303333813,45.58305065689117,49.50182597546228,37.658375107465545,39.83530206957742,37.658375107465545,1,0
20,0.15,0.0,16,354.8084763520426,32.67824809117454,33.488263139003955,26.066867270602277,23.799841831718517,26.066867270602277,1,1
20,0.15,0.05,17,421.0560358741528,41.67602472367102,45.156798387865535,35.247387422000855,29.82632563567936,35.247387422000855,1,1
20,0.15,0.15,18,358.4897663207392,45.790597198165415,47.386015030431594,39.07882417197761,39.89496964791299,39.07882417197761,1,0
45,0.0,0.0,19,355.9891284701089,40.341820780575006,58.127266443241595,39.42604530043599,39.57683038487781,39.42604530043599,1,0
45,0.0,0.05,20,372.4156791557507,49.25815858828862,52.47501788551547,47.474198602372255,44.87568758611562,47.474198602372255,1,1
45,0.0,0.15,21,396.34194877704476,73.0883354289659,69.58148348946804,65.61089601593771,64.73098368516881,65.61089601593771,1,1
45,0.05,0.0,22,377.21027971708713,52.450635752346514,48.48754097112466,60.98672871208741,43.77495768888342,48.48754097112466,1,1
45,0.05,0.05,23,474.1739237185976,42.59546211461492,54.30266883114555,37.53534583929515,37.63934286750219,37.53534583929515,1,0
45,0.05,0.15,24,400.32038630960056,57.38947292521775,59.29036184211928,67.5501913696547,62.65770964123846,57.38947292521775,1,0
45,0.15,0.0,25,294.0682987915883,42.37848516395979,55.51210891490851,61.96822472301011,54.76868619237526,42.37848516395979,1,0
45,0.15,0.05,26,453.7843834674427,44.49490110827902,61.98222575445017,50.375654295786845,50.95566475143034,44.49490110827902,1,0
45,0.15,0.15,27,288.98402958188456,64.85557826422902,82.94502054738535,54.4124633355307,61.78534499413539,54.4124633355307,1,0
