policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma,maneuver_deg,assoc_error_prob,outlier_prob
NO_PASSIVE,501000,559.4615907907403,2.6664135417480836,445.27923823147125,0,0,0,0,107,1,12,10,100,30,0,0.0,0.0
RANDOM,501000,48.64630051263337,1.7917084919035184,21.922753427494982,43,5,0,0,107,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501000,12.340855597610444,0.43744915157751213,27.884966872200707,48,0,0,0,107,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501000,11.634569048087231,0.3555352948193972,14.871625352651515,48,0,0,0,107,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501000,15.06311295799526,0.307882178568742,14.883851421387243,46,2,0,0,107,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501001,527.7532494560064,2.922547498775003,445.27923823147125,0,0,0,0,87,1,12,10,100,30,0,0.0,0.0
RANDOM,501001,25.117237110706586,0.5922987800823587,22.840613383019395,51,1,0,0,87,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501001,17.548395248274815,0.7497495392572756,24.37674538412815,52,0,0,0,87,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501001,24.018918612708433,0.4339781599664957,26.158740092898263,52,0,0,0,87,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501001,12.783549237952103,0.14602432380605954,21.692873676236776,52,0,0,0,87,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501002,313.9076601294121,2.339866382548,445.27923823147125,0,0,0,0,155,1,12,10,100,30,0,0.0,0.0
RANDOM,501002,28.822329699017335,0.9685170666151363,20.857234600428193,52,0,0,0,155,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501002,31.75606110638638,0.9630772231562702,19.477239187367065,52,0,0,0,155,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501002,29.681787697058397,0.9145791636602726,24.40441652114163,52,0,0,0,155,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501002,23.873651173028318,0.7751539958405204,17.229642293388395,52,0,0,0,155,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501003,189.26361655161483,2.4280908548990707,445.27923823147125,0,0,0,0,109,1,12,10,100,30,0,0.0,0.0
RANDOM,501003,9.276973006257952,0.24613775748820152,28.40365081347198,58,0,0,0,109,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501003,13.884934455828525,0.09326831192133281,25.696401067263203,58,0,0,0,109,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501003,16.993465074994155,0.28482841030199096,29.236483423652466,58,0,0,0,109,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501003,6.866389889085691,0.19460457749314697,26.14411026745018,58,0,0,0,109,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501004,741.1096861347544,0.37160699739942316,445.27923823147125,0,0,0,0,65,1,12,10,100,30,0,0.0,0.0
RANDOM,501004,11.728700108886146,0.5330631544556761,29.089985521988723,41,0,0,0,65,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501004,13.176995605762457,0.0713878067407039,35.95016247420999,41,0,0,0,65,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501004,19.27085386695074,0.6018974229166636,25.077969156408948,41,0,0,0,65,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501004,17.448144608031576,0.43690339827146096,25.2133565373306,41,0,0,0,65,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501005,111.86813245352869,1.11783687349621,445.27923823147125,0,0,0,0,27,1,12,10,100,30,0,0.0,0.0
RANDOM,501005,33.762646212603386,1.1035371673578975,47.05776861383949,22,0,0,0,27,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501005,15.52897997743577,0.8757510955389868,71.06117475340974,22,0,0,0,27,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501005,31.153499572373438,1.0345639061844343,47.83323838164173,22,0,0,0,27,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501005,32.58132063927725,1.2502817972174145,46.74816898013617,22,0,0,0,27,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501006,438.79083746736694,1.5604312797789834,445.27923823147125,0,0,0,0,76,1,12,10,100,30,0,0.0,0.0
RANDOM,501006,4.150979837361924,0.13272698505802136,24.59992631955442,35,0,0,0,76,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501006,43.65465571223277,1.1364178961586207,26.432642036048016,34,1,0,0,76,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501006,20.14367905782898,0.49364967938374094,24.792139197500216,35,0,0,0,76,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501006,15.716273948782614,0.6941309172831185,24.171652794380805,35,0,0,0,76,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501007,241.01103605311462,1.0400752761466256,445.27923823147125,0,0,0,0,124,1,12,10,100,30,0,0.0,0.0
RANDOM,501007,10.416035199417413,0.23668403026240672,47.70163789776111,58,1,0,0,124,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501007,10.975531524526248,0.5822515766749753,44.43523311043776,58,1,0,0,124,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501007,12.46335181985639,1.1556859402747783,48.089906292348275,56,3,0,0,124,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501007,51.753593217096274,1.0408678882930515,44.628601051968936,57,2,0,0,124,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501008,315.7254788744938,1.2330943911213537,445.27923823147125,0,0,0,0,58,1,12,10,100,30,0,0.0,0.0
RANDOM,501008,53.25812061168749,1.1044357098431075,29.57846228546641,43,0,0,0,58,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501008,50.035754161559886,1.2078519223966948,31.658888713886427,43,0,0,0,58,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501008,59.48423462411693,1.1649189862481757,29.30453133621359,42,1,0,0,58,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501008,56.63884110573196,1.1763854523977526,27.480224746118484,42,1,0,0,58,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501009,454.44916918407324,2.063706546118753,445.27923823147125,0,0,0,0,82,1,12,10,100,30,0,0.0,0.0
RANDOM,501009,7.679812079177542,0.8182401164088645,38.21048700481237,52,1,0,0,82,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501009,24.539559114263202,0.337803537937083,38.43835140994281,52,1,0,0,82,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501009,14.170216961879474,0.5694025504649545,51.417769933870325,50,3,0,0,82,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501009,6.01287042477004,0.22532628422810533,35.82287352531519,50,3,0,0,82,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501010,726.9609154228697,2.1273937833904624,445.27923823147125,0,0,0,0,77,1,12,10,100,30,0,0.0,0.0
RANDOM,501010,16.47200227906261,0.23541666420535742,23.415625834386013,53,1,0,0,77,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501010,18.112482587597466,0.40635184232161903,23.659836163761206,54,0,0,0,77,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501010,7.959559992861971,0.53195602986444,21.34239274631034,52,2,0,0,77,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501010,11.099628562616365,0.26764962651700486,21.336503763969528,53,1,0,0,77,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501011,216.09791857516555,1.5052627788897148,445.27923823147125,0,0,0,0,50,1,12,10,100,30,0,0.0,0.0
RANDOM,501011,32.24964667052284,0.6417958523495244,31.864062398813182,37,0,0,0,50,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501011,19.016134643359187,0.7409980855881156,34.4361875224964,36,1,0,0,50,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501011,20.71473662401425,0.4298130742255225,31.28677339598502,37,0,0,0,50,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501011,19.277078683895116,0.02441369363693971,31.577686131832856,37,0,0,0,50,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501012,501.7183983842868,1.0317766442060374,445.27923823147125,0,0,0,0,135,1,12,10,100,30,0,0.0,0.0
RANDOM,501012,74.74681882127874,2.041667271048801,32.877616909564615,57,0,0,0,135,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501012,50.198471494052924,1.7516661438232257,51.13009485478901,54,3,0,0,135,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501012,82.08251568528522,1.9641478315023388,32.79253368707293,57,0,0,0,135,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501012,68.65265873571526,1.687227814536748,29.691392730242022,56,1,0,0,135,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501013,424.19787447221796,0.5688403967654001,445.27923823147125,0,0,0,0,33,1,12,10,100,30,0,0.0,0.0
RANDOM,501013,17.10712326682345,0.8462360085992788,43.02913441036744,32,0,0,0,33,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501013,17.10712326682345,0.8462360085992788,43.02913441036744,32,0,0,0,33,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501013,16.526916786288737,0.7940386444504931,42.98274155320281,32,0,0,0,33,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501013,16.526916786288737,0.7940386444504931,42.98274155320281,32,0,0,0,33,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501014,348.98760225583254,1.8061427604457685,445.27923823147125,0,0,0,0,36,1,12,10,100,30,0,0.0,0.0
RANDOM,501014,71.14158745475282,1.0666899665589564,50.27500927157315,27,1,0,0,36,1,12,10,100,30,0,0.0,0.0
