n_donors,clutter_db,rcs,donor_sigma,scenario_id,no_passive_median_m,random_median_m,highest_snr_median_m,shortest_pulse_median_m,metrology_eig_median_m,best_simple_median_m,metrology_eig_beats_no_passive,metrology_eig_beats_best_simple
4,5,10,30,1,378.1928763205345,132.97469101259497,198.1482445679168,128.20114117453514,132.97469101259497,128.20114117453514,1,0
4,5,10,100,2,424.0387588978008,168.50953584427094,183.87571534059146,168.50953584427094,168.50953584427094,168.50953584427094,1,0
4,5,100,30,3,401.1720570670287,39.04354914935119,38.71678898979053,36.13976758419288,30.077844935109084,36.13976758419288,1,1
4,5,100,100,4,428.6582529175231,53.0909297725861,58.75446131894044,58.841554196736354,38.09512165579591,53.0909297725861,1,1
4,5,1000,30,5,418.1111609739776,29.346265638864985,70.31308071770263,58.634768933084786,32.08856536485013,29.346265638864985,1,0
4,5,1000,100,6,400.9658737884331,29.576656204297386,35.75672545613439,47.57002679365469,33.139782807435246,29.576656204297386,1,0
4,15,10,30,7,370.8299820402659,370.8299820402659,370.8299820402659,370.8299820402659,370.8299820402659,370.8299820402659,0,0
4,15,10,100,8,343.01508870965336,321.1582471604704,321.1582471604704,321.1582471604704,321.1582471604704,321.1582471604704,1,0
4,15,100,30,9,286.23948140811063,95.88511431129683,91.78950917227161,95.88511431129683,91.78950917227161,91.78950917227161,1,0
4,15,100,100,10,482.91193547678233,123.03903257034091,129.4317685584162,123.03903257034091,123.03903257034091,123.03903257034091,1,0
4,15,1000,30,11,414.0499268989063,31.820579721299918,32.0735708645219,25.509804218815464,23.910584452827692,25.509804218815464,1,1
4,15,1000,100,12,331.01244437970956,70.70943003234817,87.13824521044782,58.216757419194586,60.567660045655416,58.216757419194586,1,0
4,25,10,30,13,370.0666544564979,379.3922016064114,379.3922016064114,379.3922016064114,379.3922016064114,379.3922016064114,0,0
4,25,10,100,14,338.5304404327196,338.5304404327196,338.5304404327196,338.5304404327196,338.5304404327196,338.5304404327196,0,0
4,25,100,30,15,295.85971050173697,267.9404806042438,294.19961680779363,294.19961680779363,267.9404806042438,267.9404806042438,1,0
4,25,100,100,16,318.454752586737,298.3865294087057,298.3865294087057,298.3865294087057,298.3865294087057,298.3865294087057,1,0
4,25,1000,30,17,405.96863012552706,64.8884875950837,88.08774188726215,60.19038753562059,60.19038753562059,60.19038753562059,1,0
4,25,1000,100,18,394.5958042989354,113.72658553585137,116.41878426423386,111.1963847126916,113.72658553585137,111.1963847126916,1,0
12,5,10,30,19,318.28008032679327,29.00116531355397,31.196590388468557,34.59217325731717,31.30494145392646,29.00116531355397,1,0
12,5,10,100,20,385.0304986917271,81.55089310428421,83.39901805867815,73.82556237729462,70.09956832057452,73.82556237729462,1,1
12,5,100,30,21,397.8693541668492,19.655906219077515,18.833504786909444,16.138900047483695,7.608855277691399,16.138900047483695,1,1
12,5,100,100,22,368.5331883564437,27.34370465702345,38.96856968419758,26.445169239351266,21.680048802449818,26.445169239351266,1,1
12,5,1000,30,23,342.51999001003355,12.375153863788833,22.78631177402693,16.025870830302953,9.942294915626215,12.375153863788833,1,1
12,5,1000,100,24,392.9501716395491,20.354778871369597,32.245421914142526,22.270997253309844,18.302006429213343,20.354778871369597,1,1
12,15,10,30,25,419.6014360590036,301.72307835381275,301.72307835381275,301.72307835381275,301.72307835381275,301.72307835381275,1,0
12,15,10,100,26,444.48653612441115,336.99410305040533,336.99410305040533,336.99410305040533,336.99410305040533,336.99410305040533,1,0
12,15,100,30,27,391.2188127582029,31.643187674514287,36.76864887227066,33.93123364346107,32.92456331196258,31.643187674514287,1,0
12,15,100,100,28,367.22765351636656,42.60887639187028,49.70135387981483,44.3174128404297,39.19649401926881,42.60887639187028,1,1
12,15,1000,30,29,336.3369303797783,13.398692933542243,18.58300660481565,14.412560182370799,13.298143793521735,13.398692933542243,1,1
12,15,1000,100,30,429.517058235838,28.838220980075207,37.21717298358843,21.666807523673175,23.27510819319095,21.666807523673175,1,0
12,25,10,30,31,376.04282844376485,359.573195957713,359.573195957713,359.573195957713,359.573195957713,359.573195957713,1,0
12,25,10,100,32,366.92208776262987,366.0587862152274,366.0587862152274,366.0587862152274,366.0587862152274,366.0587862152274,1,0
12,25,100,30,33,344.6151406368369,259.780033652803,259.780033652803,259.780033652803,259.780033652803,259.780033652803,1,0
12,25,100,100,34,391.9849669027205,335.9446246545726,335.9446246545726,335.9446246545726,335.9446246545726,335.9446246545726,1,0
12,25,1000,30,35,351.7515602153285,37.51759251521231,33.80802865924902,39.181264234700954,30.27798429732326,33.80802865924902,1,1
12,25,1000,100,36,361.71197010268656,52.4148755970363,46.80340845934829,50.27600751813988,48.941733239176365,46.80340845934829,1,0
20,5,10,30,37,332.54261438445116,22.165011273778433,24.13769958739021,27.907223825745735,19.812992323493162,22.165011273778433,1,1
20,5,10,100,38,362.66327065910997,54.94390237016542,51.01304856134577,45.06565092738713,48.021001518572184,45.06565092738713,1,0
20,5,100,30,39,359.225017174982,18.291875937673097,16.10641167831304,10.976889462068268,12.958126528160482,10.976889462068268,1,0
20,5,100,100,40,283.34764317846407,23.569628140353178,34.92098615708911,25.694067431492748,22.014290399648807,23.569628140353178,1,1
20,5,1000,30,41,372.8316038991666,14.158849838711923,28.801800240100608,13.071175759450739,12.629864602272157,13.071175759450739,1,1
20,5,1000,100,42,385.0236791127299,21.481302258184535,40.79522131986755,18.90906329479195,13.964515231896396,18.90906329479195,1,1
20,15,10,30,43,358.2663295197489,166.9813972412329,166.9813972412329,142.3503457624941,142.3503457624941,142.3503457624941,1,0
20,15,10,100,44,301.15334499237736,125.06906295109272,106.4328479781633,117.06579906960083,125.06906295109272,106.4328479781633,1,0
20,15,100,30,45,278.07392265936335,22.464030861191947,29.464009773067097,24.248892976296673,23.12828134466369,22.464030861191947,1,0
20,15,100,100,46,369.20476509563,43.39887179923467,50.56447619664664,43.24276329231959,35.14896525536268,43.24276329231959,1,1
20,15,1000,30,47,346.46788961498726,13.005871190398294,24.989653279459624,18.012789460180507,12.01040364911013,13.005871190398294,1,1
20,15,1000,100,48,412.5967174099867,25.098986935204145,40.98437907012496,22.22202138086298,16.430478295332605,22.22202138086298,1,1
20,25,10,30,49,377.11282246171527,370.0478795814838,370.0478795814838,370.0478795814838,370.0478795814838,370.0478795814838,1,0
20,25,10,100,50,347.8784117197473,289.83242179414657,289.83242179414657,289.83242179414657,289.83242179414657,289.83242179414657,1,0
20,25,100,30,51,351.44879129263074,168.65650198533305,168.65650198533305,168.65650198533305,168.65650198533305,168.65650198533305,1,0
20,25,100,100,52,387.43623505950796,319.5684420515332,319.5684420515332,319.5684420515332,319.5684420515332,319.5684420515332,1,0
20,25,1000,30,53,352.1818769251005,31.413746928147496,34.70378140804079,31.629205030296905,26.234764990416526,31.413746928147496,1,1
20,25,1000,100,54,371.860605439988,52.236193454112595,54.75903234112072,50.962834505982414,52.19223792598828,50.962834505982414,1,0
