policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
NO_PASSIVE,301000,248.0070055500257,6.250315460305274,445.27923823147125,0,0,0,0,0,1,4,5,10,30
RANDOM,301000,248.0070055500257,6.250315460305274,445.27923823147125,0,0,0,0,0,1,4,5,10,30
HIGHEST_SNR,301000,248.0070055500257,6.250315460305274,445.27923823147125,0,0,0,0,0,1,4,5,10,30
SHORTEST_PULSE,301000,248.0070055500257,6.250315460305274,445.27923823147125,0,0,0,0,0,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301000,248.0070055500257,6.250315460305274,445.27923823147125,0,0,0,0,0,1,4,5,10,30
NO_PASSIVE,301001,438.916957411431,1.051461385048121,445.27923823147125,0,0,0,0,1,1,4,5,10,30
RANDOM,301001,330.45800776671473,0.9104867579336138,320.9083032578574,1,0,0,0,1,1,4,5,10,30
HIGHEST_SNR,301001,330.45800776671473,0.9104867579336138,320.9083032578574,1,0,0,0,1,1,4,5,10,30
SHORTEST_PULSE,301001,330.45800776671473,0.9104867579336138,320.9083032578574,1,0,0,0,1,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301001,330.45800776671473,0.9104867579336138,320.9083032578574,1,0,0,0,1,1,4,5,10,30
NO_PASSIVE,301002,411.79783709568795,1.8216252312479013,445.27923823147125,0,0,0,0,26,1,4,5,10,30
RANDOM,301002,11.67831400232061,1.2450920416003253,64.38022715013894,26,0,0,0,26,1,4,5,10,30
HIGHEST_SNR,301002,11.67831400232061,1.2450920416003253,64.38022715013894,26,0,0,0,26,1,4,5,10,30
SHORTEST_PULSE,301002,11.67831400232061,1.2450920416003253,64.38022715013894,26,0,0,0,26,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301002,11.67831400232061,1.2450920416003253,64.38022715013894,26,0,0,0,26,1,4,5,10,30
NO_PASSIVE,301003,310.44659662206385,1.5362718396238093,445.27923823147125,0,0,0,0,1,1,4,5,10,30
RANDOM,301003,356.627788752284,1.6417307413985942,331.80960402791146,1,0,0,0,1,1,4,5,10,30
HIGHEST_SNR,301003,356.627788752284,1.6417307413985942,331.80960402791146,1,0,0,0,1,1,4,5,10,30
SHORTEST_PULSE,301003,356.627788752284,1.6417307413985942,331.80960402791146,1,0,0,0,1,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301003,356.627788752284,1.6417307413985942,331.80960402791146,1,0,0,0,1,1,4,5,10,30
NO_PASSIVE,301004,505.1100764092419,3.1792161899756666,445.27923823147125,0,0,0,0,4,1,4,5,10,30
RANDOM,301004,110.74037737152436,2.5256718250740424,69.25064461343138,4,0,0,0,4,1,4,5,10,30
HIGHEST_SNR,301004,110.74037737152436,2.5256718250740424,69.25064461343138,4,0,0,0,4,1,4,5,10,30
SHORTEST_PULSE,301004,110.74037737152436,2.5256718250740424,69.25064461343138,4,0,0,0,4,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301004,110.74037737152436,2.5256718250740424,69.25064461343138,4,0,0,0,4,1,4,5,10,30
NO_PASSIVE,301005,143.91701415123995,1.241510837045339,445.27923823147125,0,0,0,0,0,1,4,5,10,30
RANDOM,301005,143.91701415123995,1.241510837045339,445.27923823147125,0,0,0,0,0,1,4,5,10,30
HIGHEST_SNR,301005,143.91701415123995,1.241510837045339,445.27923823147125,0,0,0,0,0,1,4,5,10,30
SHORTEST_PULSE,301005,143.91701415123995,1.241510837045339,445.27923823147125,0,0,0,0,0,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301005,143.91701415123995,1.241510837045339,445.27923823147125,0,0,0,0,0,1,4,5,10,30
NO_PASSIVE,301006,662.3114955480698,1.9590012273828952,445.27923823147125,0,0,0,0,8,1,4,5,10,30
RANDOM,301006,32.634371141531844,1.0660385746801961,104.50388970272441,8,0,0,0,8,1,4,5,10,30
HIGHEST_SNR,301006,32.634371141531844,1.0660385746801961,104.50388970272441,8,0,0,0,8,1,4,5,10,30
SHORTEST_PULSE,301006,32.634371141531844,1.0660385746801961,104.50388970272441,8,0,0,0,8,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301006,32.634371141531844,1.0660385746801961,104.50388970272441,8,0,0,0,8,1,4,5,10,30
NO_PASSIVE,301007,129.43485552189094,0.9835676505623158,445.27923823147125,0,0,0,0,14,1,4,5,10,30
RANDOM,301007,38.127756905998055,1.3316128272366419,74.40570183038746,14,0,0,0,14,1,4,5,10,30
HIGHEST_SNR,301007,38.127756905998055,1.3316128272366419,74.40570183038746,14,0,0,0,14,1,4,5,10,30
SHORTEST_PULSE,301007,38.127756905998055,1.3316128272366419,74.40570183038746,14,0,0,0,14,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301007,38.127756905998055,1.3316128272366419,74.40570183038746,14,0,0,0,14,1,4,5,10,30
NO_PASSIVE,301008,385.41425532921096,2.2030234844948913,445.27923823147125,0,0,0,0,18,1,4,5,10,30
RANDOM,301008,287.6690783150833,1.8518807223114135,315.0159436861354,18,0,0,0,18,1,4,5,10,30
HIGHEST_SNR,301008,287.6690783150833,1.8518807223114135,315.0159436861354,18,0,0,0,18,1,4,5,10,30
SHORTEST_PULSE,301008,287.6690783150833,1.8518807223114135,315.0159436861354,18,0,0,0,18,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301008,287.6690783150833,1.8518807223114135,315.0159436861354,18,0,0,0,18,1,4,5,10,30
NO_PASSIVE,301009,363.19094237394705,3.228613183547216,445.27923823147125,0,0,0,0,39,1,4,5,10,30
RANDOM,301009,12.961258244072894,1.1706154212601625,38.357604543779374,25,0,0,0,39,1,4,5,10,30
HIGHEST_SNR,301009,15.162358737388537,0.1622559620079747,51.716646916593604,25,0,0,0,39,1,4,5,10,30
SHORTEST_PULSE,301009,15.162358737388537,0.1622559620079747,51.716646916593604,25,0,0,0,39,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301009,52.61914105167102,1.2355105323590678,36.591464932948725,25,0,0,0,39,1,4,5,10,30
NO_PASSIVE,301010,852.3238055701586,3.836697231963563,445.27923823147125,0,0,0,0,26,1,4,5,10,30
RANDOM,301010,38.4392722886578,0.6893348253019438,51.57295192427871,24,1,0,0,26,1,4,5,10,30
HIGHEST_SNR,301010,245.04079963065928,3.771094410912227,97.92224756035829,25,0,0,0,26,1,4,5,10,30
SHORTEST_PULSE,301010,38.4392722886578,0.6893348253019438,51.57295192427871,24,1,0,0,26,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301010,38.4392722886578,0.6893348253019438,51.57295192427871,24,1,0,0,26,1,4,5,10,30
NO_PASSIVE,301011,788.748588502513,0.7068767525325937,445.27923823147125,0,0,0,0,20,1,4,5,10,30
RANDOM,301011,19.504394329095742,0.8469386122858855,113.56971130243265,19,0,0,0,20,1,4,5,10,30
HIGHEST_SNR,301011,778.1270291212065,0.9144172100485908,320.1581303755571,19,0,0,0,20,1,4,5,10,30
SHORTEST_PULSE,301011,19.504394329095742,0.8469386122858855,113.56971130243265,19,0,0,0,20,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301011,19.504394329095742,0.8469386122858855,113.56971130243265,19,0,0,0,20,1,4,5,10,30
NO_PASSIVE,301012,857.9074844930308,3.5969393797435476,445.27923823147125,0,0,0,0,3,1,4,5,10,30
RANDOM,301012,5.979420528114426,2.547827296271705,81.13219122969893,3,0,0,0,3,1,4,5,10,30
HIGHEST_SNR,301012,5.979420528114426,2.547827296271705,81.13219122969893,3,0,0,0,3,1,4,5,10,30
SHORTEST_PULSE,301012,5.979420528114426,2.547827296271705,81.13219122969893,3,0,0,0,3,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301012,5.979420528114426,2.547827296271705,81.13219122969893,3,0,0,0,3,1,4,5,10,30
NO_PASSIVE,301013,394.4997874498849,1.379524931435153,445.27923823147125,0,0,0,0,39,1,4,5,10,30
RANDOM,301013,45.766373400873626,1.2185974083643025,67.36555822595774,35,1,0,0,39,1,4,5,10,30
HIGHEST_SNR,301013,61.427291043062276,0.7959540339629456,69.69758729033705,36,0,0,0,39,1,4,5,10,30
SHORTEST_PULSE,301013,45.766373400873626,1.2185974083643025,67.36555822595774,35,1,0,0,39,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301013,45.766373400873626,1.2185974083643025,67.36555822595774,35,1,0,0,39,1,4,5,10,30
NO_PASSIVE,301014,245.9248874690054,1.0686426808446376,445.27923823147125,0,0,0,0,0,1,4,5,10,30
RANDOM,301014,245.9248874690054,1.0686426808446376,445.27923823147125,0,0,0,0,0,1,4,5,10,30
HIGHEST_SNR,301014,245.9248874690054,1.0686426808446376,445.27923823147125,0,0,0,0,0,1,4,5,10,30
SHORTEST_PULSE,301014,245.9248874690054,1.0686426808446376,445.27923823147125,0,0,0,0,0,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301014,245.9248874690054,1.0686426808446376,445.27923823147125,0,0,0,0,0,1,4,5,10,30
NO_PASSIVE,301015,370.971497311858,1.2431453454497823,445.27923823147125,0,0,0,0,6,1,4,5,10,30
