scenario_id,policy,accepted_assoc_bad,accepted_outliers,used,rejected,corrupt_accepted_fraction
1,HIGHEST_SNR,0,0,1342,22,0.0
1,METROLOGY_CONDITIONED_EIG,0,0,1348,16,0.0
1,NO_PASSIVE,0,0,0,0,0.0
1,RANDOM,0,0,1343,21,0.0
1,SHORTEST_PULSE,0,0,1346,18,0.0
2,HIGHEST_SNR,0,9,1324,107,0.006797583081570997
2,METROLOGY_CONDITIONED_EIG,0,10,1341,90,0.007457121551081283
2,NO_PASSIVE,0,0,0,0,0.0
2,RANDOM,0,5,1343,88,0.0037230081906180195
2,SHORTEST_PULSE,0,5,1336,95,0.0037425149700598802
3,HIGHEST_SNR,0,27,1063,246,0.02539981185324553
3,METROLOGY_CONDITIONED_EIG,0,49,935,374,0.052406417112299465
3,NO_PASSIVE,0,0,0,0,0.0
3,RANDOM,0,35,1049,260,0.03336510962821735
3,SHORTEST_PULSE,0,28,1028,281,0.027237354085603113
4,HIGHEST_SNR,3,0,1255,77,0.002390438247011952
4,METROLOGY_CONDITIONED_EIG,2,0,1254,78,0.001594896331738437
4,NO_PASSIVE,0,0,0,0,0.0
4,RANDOM,1,0,1264,68,0.0007911392405063291
4,SHORTEST_PULSE,0,0,1251,81,0.0
5,HIGHEST_SNR,0,10,1114,170,0.008976660682226212
5,METROLOGY_CONDITIONED_EIG,0,9,1095,189,0.00821917808219178
5,NO_PASSIVE,0,0,0,0,0.0
5,RANDOM,0,10,1125,159,0.008888888888888889
5,SHORTEST_PULSE,0,7,1092,192,0.00641025641025641
6,HIGHEST_SNR,3,24,1029,383,0.026239067055393587
6,METROLOGY_CONDITIONED_EIG,0,17,1047,365,0.01623686723973257
6,NO_PASSIVE,0,0,0,0,0.0
6,RANDOM,2,24,1043,369,0.024928092042186004
6,SHORTEST_PULSE,0,10,1099,313,0.009099181073703366
7,HIGHEST_SNR,4,0,1109,209,0.0036068530207394047
7,METROLOGY_CONDITIONED_EIG,5,0,1088,230,0.004595588235294118
7,NO_PASSIVE,0,0,0,0,0.0
7,RANDOM,9,0,1069,249,0.00841908325537886
7,SHORTEST_PULSE,6,0,1071,247,0.0056022408963585435
8,HIGHEST_SNR,5,7,1069,259,0.011225444340505144
8,METROLOGY_CONDITIONED_EIG,3,8,1048,280,0.01049618320610687
8,NO_PASSIVE,0,0,0,0,0.0
8,RANDOM,3,6,1078,250,0.008348794063079777
8,SHORTEST_PULSE,2,6,1071,257,0.007469654528478058
9,HIGHEST_SNR,5,29,829,456,0.04101326899879373
9,METROLOGY_CONDITIONED_EIG,5,33,701,584,0.05420827389443652
9,NO_PASSIVE,0,0,0,0,0.0
9,RANDOM,4,26,837,448,0.035842293906810034
9,SHORTEST_PULSE,4,27,785,500,0.03949044585987261
10,HIGHEST_SNR,0,0,1359,18,0.0
10,METROLOGY_CONDITIONED_EIG,0,0,1353,24,0.0
10,NO_PASSIVE,0,0,0,0,0.0
10,RANDOM,0,0,1351,26,0.0
10,SHORTEST_PULSE,0,0,1354,23,0.0
11,HIGHEST_SNR,0,11,1244,110,0.008842443729903537
11,METROLOGY_CONDITIONED_EIG,0,9,1211,143,0.007431874483897605
11,NO_PASSIVE,0,0,0,0,0.0
11,RANDOM,0,11,1224,130,0.008986928104575163
11,SHORTEST_PULSE,0,8,1233,121,0.006488240064882401
12,HIGHEST_SNR,0,29,1032,239,0.02810077519379845
12,METROLOGY_CONDITIONED_EIG,0,24,1040,231,0.023076923076923078
12,NO_PASSIVE,0,0,0,0,0.0
12,RANDOM,0,29,1027,244,0.028237585199610515
12,SHORTEST_PULSE,0,19,1038,233,0.018304431599229287
13,HIGHEST_SNR,2,0,1279,74,0.001563721657544957
13,METROLOGY_CONDITIONED_EIG,2,0,1273,80,0.0015710919088766694
13,NO_PASSIVE,0,0,0,0,0.0
13,RANDOM,2,0,1281,72,0.00156128024980484
13,SHORTEST_PULSE,2,0,1274,79,0.0015698587127158557
14,HIGHEST_SNR,1,6,1198,134,0.005843071786310518
14,METROLOGY_CONDITIONED_EIG,1,6,1185,147,0.00590717299578059
14,NO_PASSIVE,0,0,0,0,0.0
14,RANDOM,1,9,1164,168,0.00859106529209622
14,SHORTEST_PULSE,2,6,1185,147,0.006751054852320675
15,HIGHEST_SNR,1,37,978,324,0.03885480572597137
15,METROLOGY_CONDITIONED_EIG,2,32,954,348,0.03563941299790356
15,NO_PASSIVE,0,0,0,0,0.0
15,RANDOM,2,32,999,303,0.03403403403403404
15,SHORTEST_PULSE,1,30,931,371,0.03329752953813104
16,HIGHEST_SNR,5,0,1141,208,0.0043821209465381246
16,METROLOGY_CONDITIONED_EIG,4,0,1134,215,0.003527336860670194
16,NO_PASSIVE,0,0,0,0,0.0
16,RANDOM,3,0,1133,216,0.00264783759929391
16,SHORTEST_PULSE,6,0,1134,215,0.005291005291005291
17,HIGHEST_SNR,3,8,1057,299,0.010406811731315043
17,METROLOGY_CONDITIONED_EIG,2,7,1024,332,0.0087890625
17,NO_PASSIVE,0,0,0,0,0.0
17,RANDOM,3,8,1019,337,0.010794896957801767
17,SHORTEST_PULSE,2,9,1012,344,0.010869565217391304
18,HIGHEST_SNR,3,22,851,449,0.02937720329024677
18,METROLOGY_CONDITIONED_EIG,2,29,797,503,0.03889585947302384
18,NO_PASSIVE,0,0,0,0,0.0
18,RANDOM,4,24,831,469,0.03369434416365824
18,SHORTEST_PULSE,1,18,807,493,0.023543990086741014
19,HIGHEST_SNR,0,0,1164,82,0.0
19,METROLOGY_CONDITIONED_EIG,0,0,1196,50,0.0
19,NO_PASSIVE,0,0,0,0,0.0
19,RANDOM,0,0,1205,41,0.0
19,SHORTEST_PULSE,0,0,1203,43,0.0
20,HIGHEST_SNR,0,9,1215,63,0.007407407407407408
20,METROLOGY_CONDITIONED_EIG,0,4,1204,74,0.0033222591362126247
20,NO_PASSIVE,0,0,0,0,0.0
20,RANDOM,0,6,1207,71,0.004971002485501243
20,SHORTEST_PULSE,0,3,1200,78,0.0025
21,HIGHEST_SNR,0,37,919,348,0.04026115342763874
21,METROLOGY_CONDITIONED_EIG,0,32,843,424,0.03795966785290629
21,NO_PASSIVE,0,0,0,0,0.0
21,RANDOM,0,37,892,375,0.04147982062780269
21,SHORTEST_PULSE,0,25,885,382,0.02824858757062147
22,HIGHEST_SNR,2,0,1178,98,0.001697792869269949
22,METROLOGY_CONDITIONED_EIG,1,0,1169,107,0.000855431993156544
22,NO_PASSIVE,0,0,0,0,0.0
22,RANDOM,1,0,1181,95,0.000846740050804403
22,SHORTEST_PULSE,2,0,1166,110,0.0017152658662092624
23,HIGHEST_SNR,1,8,1091,135,0.008249312557286892
23,METROLOGY_CONDITIONED_EIG,1,7,1081,145,0.0074005550416281225
23,NO_PASSIVE,0,0,0,0,0.0
23,RANDOM,1,5,1072,154,0.005597014925373134
23,SHORTEST_PULSE,1,4,1088,138,0.004595588235294118
24,HIGHEST_SNR,1,38,991,413,0.039354187689202826
24,METROLOGY_CONDITIONED_EIG,1,31,1004,400,0.03187250996015936
24,NO_PASSIVE,0,0,0,0,0.0
24,RANDOM,1,36,1046,358,0.03537284894837476
24,SHORTEST_PULSE,0,31,1048,356,0.029580152671755726
25,HIGHEST_SNR,4,0,1035,201,0.003864734299516908
25,METROLOGY_CONDITIONED_EIG,3,0,1011,225,0.002967359050445104
25,NO_PASSIVE,0,0,0,0,0.0
25,RANDOM,4,0,1018,218,0.003929273084479371
25,SHORTEST_PULSE,4,0,982,254,0.004073319755600814
26,HIGHEST_SNR,5,9,998,250,0.014028056112224449
26,METROLOGY_CONDITIONED_EIG,4,7,933,315,0.011789924973204717
26,NO_PASSIVE,0,0,0,0,0.0
26,RANDOM,4,8,994,254,0.012072434607645875
26,SHORTEST_PULSE,4,4,981,267,0.00815494393476045
27,HIGHEST_SNR,1,25,928,383,0.028017241379310345
27,METROLOGY_CONDITIONED_EIG,3,19,878,433,0.025056947608200455
27,NO_PASSIVE,0,0,0,0,0.0
27,RANDOM,3,24,852,459,0.03169014084507042
27,SHORTEST_PULSE,2,18,892,419,0.02242152466367713
