maneuver_deg,assoc_error_prob,outlier_prob,scenario_id,no_passive_median_m,random_median_m,highest_snr_median_m,shortest_pulse_median_m,metrology_eig_median_m,best_simple_median_m,metrology_eig_beats_no_passive,metrology_eig_beats_best_simple
0,0.0,0.0,1,446.62000332572006,27.584126000490368,18.418620292939977,18.472588170593582,18.414701323770814,18.418620292939977,1,1
0,0.0,0.05,2,396.1812581596446,18.329064422607537,23.80524863784205,15.823766053333111,13.593454025992559,15.823766053333111,1,1
0,0.0,0.15,3,351.4707762599721,40.22266649275346,40.1706242478274,36.75253562466209,37.239306202123714,36.75253562466209,1,0
0,0.05,0.0,4,386.32835095743076,25.51167541598415,19.64845153404935,22.105216843512903,15.64600774146679,19.64845153404935,1,1
0,0.05,0.05,5,418.94968911332774,23.49378871705311,34.75700407989619,25.689259932650344,28.416267537513324,23.49378871705311,1,0
0,0.05,0.15,6,414.79472263020455,25.954092148422053,44.34950955753091,21.70221712151911,24.47066619231287,21.70221712151911,1,0
0,0.15,0.0,7,372.24324266370184,22.449689916753456,31.512591772019125,21.968218283088696,20.283640403917826,21.968218283088696,1,1
0,0.15,0.05,8,366.36247797802275,29.980593789485937,32.41775107166944,26.911809508026607,24.42548980562409,26.911809508026607,1,1
0,0.15,0.15,9,360.01980148691206,35.94852108138768,63.0672923907549,49.15504165709491,55.186851734605476,35.94852108138768,1,0
20,0.0,0.0,10,324.09047614379256,28.199710955591186,32.4587018057889,24.90990338620771,23.839009981388664,24.90990338620771,1,1
20,0.0,0.05,11,365.2888258106088,22.566976684074458,31.847752747646936,25.192957100449455,28.091205778767367,22.566976684074458,1,0
20,0.0,0.15,12,308.5990263608947,41.97396740882394,43.48326575028847,29.131140381332358,36.725689015768914,29.131140381332358,1,0
20,0.05,0.0,13,310.3014897914346,32.67991036855394,35.82267712543221,26.6022717407358,29.986455716674847,26.6022717407358,1,0
20,0.05,0.05,14,370.65261976451643,31.730468440385174,40.24042836532044,29.62455569254825,29.762237282583012,29.62455569254825,1,0
20,0.05,0.15,15,320.02646303333813,51.35012035945327,49.65319889200258,40.66026012363966,40.52124987370306,40.66026012363966,1,1
20,0.15,0.0,16,354.8084763520426,32.85650646403689,33.95021061302141,26.269808948152715,24.56048155102708,26.269808948152715,1,1
20,0.15,0.05,17,421.0560358741528,41.10708397342786,45.56317412754689,34.70149251228603,30.97687380601799,34.70149251228603,1,1
20,0.15,0.15,18,358.4897663207392,49.99703709476876,47.54360746871478,39.61109283646607,40.41547122098898,39.61109283646607,1,0
45,0.0,0.0,19,355.9891284701089,41.56160675838254,58.49982946240303,40.398829061776375,41.128042468611675,40.398829061776375,1,0
45,0.0,0.05,20,372.4156791557507,49.206407799420376,53.14554684254336,47.690176147750456,45.749026536904836,47.690176147750456,1,1
45,0.0,0.15,21,396.34194877704476,72.89266311082693,70.89352682929558,70.1218809581649,65.99494314093604,70.1218809581649,1,1
45,0.05,0.0,22,377.21027971708713,53.31853934359063,48.891765752141,61.83250843077822,47.594183437076516,48.891765752141,1,1
45,0.05,0.05,23,474.1739237185976,44.30328462901992,54.951337947491666,38.015938413719624,40.213967248596134,38.015938413719624,1,0
45,0.05,0.15,24,400.32038630960056,59.77677281920889,60.17404089619282,68.37155486099869,64.1826675797671,59.77677281920889,1,0
45,0.15,0.0,25,294.0682987915883,43.679219727566334,61.17976913150225,66.89309429574378,57.03933277886644,43.679219727566334,1,0
45,0.15,0.05,26,453.7843834674427,45.1221759974027,61.86337348011449,51.04307089196984,52.15265009329605,45.1221759974027,1,0
45,0.15,0.15,27,288.98402958188456,65.05044662968267,81.42299016918665,55.633688145525234,62.50048976288468,55.633688145525234,1,0
