policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements
NO_PASSIVE,260901,348.0688789779367,2.2237089183824192,445.27907653515393,0,0,0,0,194
RANDOM,260901,4.235183755250229,0.2503165233811707,18.158017317721683,60,0,0,0,194
HIGHEST_SNR,260901,2.995475863688132,0.152166254811274,19.495391025425867,60,0,0,0,194
SHORTEST_PULSE,260901,13.174307899713622,0.2709816189992486,16.434313723858317,60,0,0,0,194
METROLOGY_CONDITIONED_EIG,260901,18.283662237075742,0.5220755185515195,15.572181968975496,60,0,0,0,194
NO_PASSIVE,260902,634.9943419865351,3.5306109475828498,445.27907653515393,0,0,0,0,99
RANDOM,260902,61.57979053075402,1.4393871530338354,23.61928477963819,48,0,0,0,99
HIGHEST_SNR,260902,62.47676269922449,1.4928452624826845,21.173278552685638,48,0,0,0,99
SHORTEST_PULSE,260902,42.586735803747466,1.0952972662902327,25.660534757909563,48,0,0,0,99
METROLOGY_CONDITIONED_EIG,260902,54.853145200477755,1.357623180322461,20.06377481488311,48,0,0,0,99
NO_PASSIVE,260903,409.72668913747185,1.751384484750614,445.27907653515393,0,0,0,0,127
RANDOM,260903,61.876569318327455,1.5532939059392983,28.96390561078187,46,1,0,0,127
HIGHEST_SNR,260903,81.15880906233424,2.9059695764005236,37.00411410989034,45,2,0,0,127
SHORTEST_PULSE,260903,39.8096790458529,0.7466099151188607,24.915342846524336,46,1,0,0,127
METROLOGY_CONDITIONED_EIG,260903,12.338049227455892,0.3484684155595902,23.620629234779297,47,0,0,0,127
NO_PASSIVE,260904,533.5742757218977,0.4985697642065539,445.27907653515393,0,0,0,0,25
RANDOM,260904,13.547143170980243,0.4343925112504436,31.558187620482045,20,0,0,0,25
HIGHEST_SNR,260904,12.327376517004222,0.2862550738359527,31.699592141473328,20,0,0,0,25
SHORTEST_PULSE,260904,12.327376517004222,0.2862550738359527,31.699592141473328,20,0,0,0,25
METROLOGY_CONDITIONED_EIG,260904,13.650492705165693,0.38909427849709505,31.552191614980444,20,0,0,0,25
NO_PASSIVE,260905,263.88006287231326,4.284359225533901,445.27907653515393,0,0,0,0,124
RANDOM,260905,2.5651373868597767,0.6009665971911707,29.112903705229503,59,0,0,0,124
HIGHEST_SNR,260905,1.3719367724305158,0.47672567449452075,33.79686744490692,59,0,0,0,124
SHORTEST_PULSE,260905,15.365513642893351,1.0298947786332215,23.778891494338136,59,0,0,0,124
METROLOGY_CONDITIONED_EIG,260905,14.445656845912296,0.8730012155731598,23.467384658420006,59,0,0,0,124
NO_PASSIVE,260906,517.0699484462659,0.5538009617862696,445.27907653515393,0,0,0,0,101
RANDOM,260906,7.447159143810439,0.4017876232026369,14.257692781465286,57,0,0,0,101
HIGHEST_SNR,260906,9.418316764851033,0.47620702900319395,17.445487288493702,57,0,0,0,101
SHORTEST_PULSE,260906,5.604821092722735,0.47151831849275044,15.567072266540455,57,0,0,0,101
METROLOGY_CONDITIONED_EIG,260906,8.010124366421548,0.47259597162513217,14.305505125272195,57,0,0,0,101
NO_PASSIVE,260907,559.28488838571,2.947421881338931,445.27907653515393,0,0,0,0,152
RANDOM,260907,28.41531708962314,0.8669166933361363,22.24442413392707,59,0,0,0,152
HIGHEST_SNR,260907,5.639811947072979,0.5735986833886239,33.5030026705169,57,2,0,0,152
SHORTEST_PULSE,260907,27.18096740170178,1.0804552430649175,18.28801031553873,57,2,0,0,152
METROLOGY_CONDITIONED_EIG,260907,24.023339949968538,0.9770294345618584,16.960514427387263,58,1,0,0,152
NO_PASSIVE,260908,275.1783517195876,1.9863839058796506,445.27907653515393,0,0,0,0,44
RANDOM,260908,44.58024812409331,0.2600646227116789,70.98408157506522,38,1,0,0,44
HIGHEST_SNR,260908,57.8523672009352,1.0541567276702544,73.5915504528069,38,1,0,0,44
SHORTEST_PULSE,260908,66.7431580194903,1.578740948561543,72.40643328621337,38,1,0,0,44
METROLOGY_CONDITIONED_EIG,260908,53.37905140238751,1.2101498342465313,68.60054287011914,38,1,0,0,44
NO_PASSIVE,260909,160.79446768865057,2.5263408445088724,445.27907653515393,0,0,0,0,98
RANDOM,260909,18.10006924737652,0.6041887448577841,32.82299781883547,55,0,0,0,98
HIGHEST_SNR,260909,16.038750782144295,0.481846104811783,58.12328147562419,55,0,0,0,98
SHORTEST_PULSE,260909,15.157411145935274,0.15723968990427997,31.90020012601281,55,0,0,0,98
METROLOGY_CONDITIONED_EIG,260909,14.094762391915648,0.3793870209403522,31.02467468667309,55,0,0,0,98
NO_PASSIVE,260910,284.9924391484348,0.7173999506267923,445.27907653515393,0,0,0,0,144
RANDOM,260910,16.32688000753734,0.3309101686810613,17.811410931714303,58,2,0,0,144
HIGHEST_SNR,260910,4.038464685508228,0.07378542001565694,21.886579606131267,58,2,0,0,144
SHORTEST_PULSE,260910,6.253171753180097,0.31723566687688565,19.78977801779136,58,2,0,0,144
METROLOGY_CONDITIONED_EIG,260910,5.790752529090484,0.39680467139585684,17.201575661151463,58,2,0,0,144
NO_PASSIVE,260911,251.74863463121608,2.2463667458103727,445.27907653515393,0,0,0,0,153
RANDOM,260911,27.769046194088126,0.37812138250706956,30.024955608013467,60,0,0,0,153
HIGHEST_SNR,260911,18.326008842399037,0.1898240892914704,28.51593291878971,60,0,0,0,153
